STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.90397681 GHz,
TABLE,Region StartNotOpt,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.001730,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2253342
CPU_CLK_UNHALTED_CORE,FIXC1,1798733
CPU_CLK_UNHALTED_REF,FIXC2,1937452
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,103561
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region StartNotOpt,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0017,
Runtime unhalted [s],0.0006,
Clock [MHz],2696.0559,
CPI,0.7983,
DP [MFLOP/s],59.8735,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],59.8735,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.90397681 GHz,
TABLE,Region AllocNotOpt,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000008,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,11281
CPU_CLK_UNHALTED_CORE,FIXC1,20617
CPU_CLK_UNHALTED_REF,FIXC2,21659
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,10
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region AllocNotOpt,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],7.578910e-06,
Runtime unhalted [s],7.099575e-06,
Clock [MHz],2764.2684,
CPI,1.8276,
DP [MFLOP/s],1.3195,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],1.3195,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.90397681 GHz,
TABLE,Region ReadNotOpt,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000513,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1731290
CPU_CLK_UNHALTED_CORE,FIXC1,1383795
CPU_CLK_UNHALTED_REF,FIXC2,1491930
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,1065
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region ReadNotOpt,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0005,
Runtime unhalted [s],0.0005,
Clock [MHz],2693.4967,
CPI,0.7993,
