STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.90283219 GHz,
TABLE,Region StartNewtonTrab1,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.007819,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14260340
CPU_CLK_UNHALTED_CORE,FIXC1,11283060
CPU_CLK_UNHALTED_REF,FIXC2,12163520
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,42814
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region StartNewtonTrab1,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0078,
Runtime unhalted [s],0.0039,
Clock [MHz],2692.7098,
CPI,0.7912,
DP [MFLOP/s],5.4754,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],5.4754,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.90283219 GHz,
TABLE,Region AlocVariavelTrab1,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000007,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,7827
CPU_CLK_UNHALTED_CORE,FIXC1,20430
CPU_CLK_UNHALTED_REF,FIXC2,21901
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,10
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region AlocVariavelTrab1,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],6.920825e-06,
Runtime unhalted [s],7.037954e-06,
Clock [MHz],2707.8609,
CPI,2.6102,
DP [MFLOP/s],1.4449,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],1.4449,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.90283219 GHz,
TABLE,Region LeVariavelTrab1,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000011,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,17536
CPU_CLK_UNHALTED_CORE,FIXC1,36825
CPU_CLK_UNHALTED_REF,FIXC2,39567
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,10
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region LeVariavelTrab1,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],1.087539e-05,
Runtime unhalted [s],1.268589e-05,
Clock [MHz],2701.6654,
