STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903988619 GHz,
TABLE,Region StartNewtonTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.039879,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,116004500
CPU_CLK_UNHALTED_CORE,FIXC1,82405710
CPU_CLK_UNHALTED_REF,FIXC2,88836140
L2_TRANS_ALL_REQUESTS,PMC0,3192679
L2_RQSTS_MISS,PMC1,920106
TABLE,Region StartNewtonTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0399,
Runtime unhalted [s],0.0284,
Clock [MHz],2693.7826,
CPI,0.7104,
L2 request rate,0.0275,
L2 miss rate,0.0079,
L2 miss ratio,0.2882,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903988619 GHz,
TABLE,Region AlocVariavelTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000014,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,13847
CPU_CLK_UNHALTED_CORE,FIXC1,27643
CPU_CLK_UNHALTED_REF,FIXC2,29645
L2_TRANS_ALL_REQUESTS,PMC0,2218
L2_RQSTS_MISS,PMC1,690
TABLE,Region AlocVariavelTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.397646e-05,
Runtime unhalted [s],9.518977e-06,
Clock [MHz],2707.8751,
CPI,1.9963,
L2 request rate,0.1602,
L2 miss rate,0.0498,
L2 miss ratio,0.3111,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903988619 GHz,
TABLE,Region LeVariavelTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000058,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,44187
CPU_CLK_UNHALTED_CORE,FIXC1,60806
CPU_CLK_UNHALTED_REF,FIXC2,65582
L2_TRANS_ALL_REQUESTS,PMC0,4316
L2_RQSTS_MISS,PMC1,1641
TABLE,Region LeVariavelTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],2.093879e-05,
Clock [MHz],2692.5061,
CPI,1.3761,
L2 request rate,0.0977,
L2 miss rate,0.0371,
L2 miss ratio,0.3802,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903988619 GHz,
TABLE,Region EscreveParciaisTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.007481,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,13596160
CPU_CLK_UNHALTED_CORE,FIXC1,9476172
CPU_CLK_UNHALTED_REF,FIXC2,10215670
L2_TRANS_ALL_REQUESTS,PMC0,309472
L2_RQSTS_MISS,PMC1,94535
TABLE,Region EscreveParciaisTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0075,
Runtime unhalted [s],0.0033,
Clock [MHz],2693.7730,
CPI,0.6970,
L2 request rate,0.0228,
L2 miss rate,0.0070,
L2 miss ratio,0.3055,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903988619 GHz,
TABLE,Region MetodoNewtonTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.031070,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,102297500
CPU_CLK_UNHALTED_CORE,FIXC1,72724210
CPU_CLK_UNHALTED_REF,FIXC2,78399290
L2_TRANS_ALL_REQUESTS,PMC0,2861188
L2_RQSTS_MISS,PMC1,818358
TABLE,Region MetodoNewtonTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0311,
Runtime unhalted [s],0.0250,
Clock [MHz],2693.7779,
CPI,0.7109,
L2 request rate,0.0280,
L2 miss rate,0.0080,
L2 miss ratio,0.2860,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903988619 GHz,
TABLE,Region LiberaMemoriaTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,7221
CPU_CLK_UNHALTED_CORE,FIXC1,10069
CPU_CLK_UNHALTED_REF,FIXC2,11011
L2_TRANS_ALL_REQUESTS,PMC0,1494
L2_RQSTS_MISS,PMC1,380
TABLE,Region LiberaMemoriaTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.066133e-06,
Runtime unhalted [s],3.467300e-06,
Clock [MHz],2655.5500,
CPI,1.3944,
L2 request rate,0.2069,
L2 miss rate,0.0526,
L2 miss ratio,0.2544,
