STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.904086087 GHz,
TABLE,Region StartNewtonTrab1,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.030193,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,130372500
CPU_CLK_UNHALTED_CORE,FIXC1,58804840
CPU_CLK_UNHALTED_REF,FIXC2,63399760
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,919568
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region StartNewtonTrab1,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0302,
Runtime unhalted [s],0.0202,
Clock [MHz],2693.6114,
CPI,0.4511,
DP [MFLOP/s],30.4567,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],30.4567,
Vectorization ratio,0,
