STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.904110476 GHz,
TABLE,Region StartNewtonTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.056849,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,159719200
CPU_CLK_UNHALTED_CORE,FIXC1,121149400
CPU_CLK_UNHALTED_REF,FIXC2,130603900
L2_TRANS_ALL_REQUESTS,PMC0,3915393
L2_RQSTS_MISS,PMC1,1088279
TABLE,Region StartNewtonTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0568,
Runtime unhalted [s],0.0417,
Clock [MHz],2693.8801,
CPI,0.7585,
L2 request rate,0.0245,
L2 miss rate,0.0068,
L2 miss ratio,0.2779,
