X1 = [     -1.40129846e-45,       1.40129846e-45]
X2 = [     -1.40129846e-45,       1.40129846e-45]
X3 = [      9.99999884e-07,       1.00000011e-06]
X4 = [     -4.20389539e-45,       4.20389539e-45]
X5 = [      9.99999770e-07,       1.00000022e-06]
X6 = [                -inf,                  inf]
X7 = [                -inf,                  inf]

Não unitários:
X4 = [     -4.20389539e-45,       4.20389539e-45]
X5 = [      9.99999770e-07,       1.00000022e-06]
X6 = [                -inf,                  inf]
X7 = [                -inf,                  inf]
